group_id,action,reason,merged_rows,agency,line_item,value_label,fiscal_year,amount,pages,section_variants,program_variants,notes
47,merged,exact_duplicate,2,General Fund / Statewide,"Reduce funding by $300,000 in FY 26 and FY 27 to reflect current agency requirements. Maintain funding at current level. Totals Governor Recommended Legislative Difference from Governor Budget Components FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 13,204,587 13,204,587 13,204,587 13,204,587 - - Policy Revisions (750,000) (750,000) 3,632,653 2,397,653 4,382,653 3,147,653 Current Services (92,508) (92,508) 207,492 207,492 300,000 300,000 Total Recommended - GF 12,362,079 12,362,079 17,044,732 15,809,732 4,682,653 3,447,653 Governor Recommended Legislative Difference from Governor Positions FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 88 88 88 88 - - Policy Revisions - - 8 13 8 13 Total Recommended - GF 88 88 96 101 8 13 36",FY,,27.0,37,General Table,General Table,Identical rows collapsed
48,merged,exact_duplicate,4,General Fund / Statewide,State Comptroller - Miscellaneous,Legislative,,0.0,49,General Table,General Table,Identical rows collapsed
49,merged,exact_duplicate,2,General Fund / Statewide,Reserve for Salary Adjustments,Actual FY 23,2023,0.0,49,General Table,General Table,Identical rows collapsed
50,merged,exact_duplicate,5,General Fund / Statewide,State Comptroller - Miscellaneous Governor Recommended - - Legislative -,Appropriation FY 25,2025,0.0,50,General Table,General Table,Identical rows collapsed
51,merged,exact_duplicate,5,General Fund / Statewide,State Comptroller - Miscellaneous Governor Recommended - - Legislative -,FY,,0.0,50,General Table,General Table,Identical rows collapsed
52,merged,exact_duplicate,2,General Fund / Statewide,State Comptroller - Miscellaneous Governor Recommended - - Legislative -,Actual FY 23,2023,0.0,50,General Table,General Table,Identical rows collapsed
53,merged,exact_duplicate,2,General Fund / Statewide,"The Governor’s Recommended Budget provides funding of $124.4 million in FY 26 and FY 27, across nine appropriated funds, to reflect current wage-related adjustments resulting from existing wage agreements. Provide funding of $1,241,064 in FY 26 and FY 27 to reflect this agency’s increased wage costs. Same as Governor Totals Governor Recommended Legislative Difference from Governor Budget Components FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 35,694,433 35,694,433 35,694,433 35,694,433 - - Policy Revisions 6,302,530 6,302,530 6,959,566 6,959,566 657,036 657,036 Current Services 1,241,064 1,241,064 6,241,064 6,241,064 5,000,000 5,000,000 Total Recommended - GF 43,238,027 43,238,027 48,895,063 48,895,063 5,657,036 5,657,036 Governor Recommended Legislative Difference from Governor Positions FY 26 FY 27 FY 26 FY 27 FY 26 FY 27 FY 25 Appropriation - GF 284 284 284 284 - - Policy Revisions 7 7 7 7 - - Total Recommended - GF 291 291 291 291 - - 57",FY,,27.0,58,General Table,General Table,Identical rows collapsed
54,merged,exact_duplicate,5,General Fund / Statewide,Nonfunctional - Change to Accruals,Appropriation FY 25,2025,0.0,59,General Table,General Table,Identical rows collapsed
55,merged,exact_duplicate,2,General Fund / Statewide,Nonfunctional - Change to Accruals,Actual FY 23,2023,0.0,59,General Table,General Table,Identical rows collapsed
56,merged,exact_duplicate,2,General Fund / Statewide,Unspecified,FY,,27.0,61,General Table,General Table,Identical rows collapsed
