agency,section,program,line_item,value_label,fiscal_year,amount,page
General Fund / Statewide,General Table,General Table,Port Authority,Actual FY 2023,2023,3400000.0,191
General Fund / Statewide,General Table,General Table,Port Authority,Actual FY 2024,2024,400000.0,191
General Fund / Statewide,General Table,General Table,Port Authority,Appropriation FY 2025,2025,400000.0,191
General Fund / Statewide,General Table,General Table,Port Authority,Governor Recommended,,0.0,191
General Fund / Statewide,General Table,General Table,Port Authority,FY,,0.0,191
General Fund / Statewide,General Table,General Table,Port Authority,Legislative,,0.0,191
General Fund / Statewide,General Table,General Table,Port Authority,60 million in,,0.0,191
General Fund / Statewide,General Table,General Table,Transportation Asset Management,Actual FY 2023,2023,3188072.0,191
General Fund / Statewide,General Table,General Table,Transportation Asset Management,Actual FY 2024,2024,5798832.0,191
General Fund / Statewide,General Table,General Table,Transportation Asset Management,Appropriation FY 2025,2025,3000000.0,191
General Fund / Statewide,General Table,General Table,Transportation Asset Management,Governor Recommended,,3004254.0,191
General Fund / Statewide,General Table,General Table,Transportation Asset Management,FY,,3004254.0,191
General Fund / Statewide,General Table,General Table,Transportation Asset Management,Legislative,,3004254.0,191
General Fund / Statewide,General Table,General Table,Transportation Asset Management,60 million in,,3004254.0,191
General Fund / Statewide,General Table,General Table,Other Than Payments to Local Governments,Actual FY 2023,2023,0.0,191
General Fund / Statewide,General Table,General Table,Other Than Payments to Local Governments,Actual FY 2024,2024,0.0,191
General Fund / Statewide,General Table,General Table,Other Than Payments to Local Governments,Appropriation FY 2025,2025,0.0,191
General Fund / Statewide,General Table,General Table,Other Than Payments to Local Governments,Governor Recommended,,0.0,191
General Fund / Statewide,General Table,General Table,Other Than Payments to Local Governments,FY,,0.0,191
General Fund / Statewide,General Table,General Table,Other Than Payments to Local Governments,Legislative,,0.0,191
General Fund / Statewide,General Table,General Table,Other Than Payments to Local Governments,60 million in,,0.0,191
General Fund / Statewide,General Table,General Table,Transportation to Work,Actual FY 2023,2023,2370629.0,191
General Fund / Statewide,General Table,General Table,Transportation to Work,Actual FY 2024,2024,2370629.0,191
General Fund / Statewide,General Table,General Table,Transportation to Work,Appropriation FY 2025,2025,2370629.0,191
General Fund / Statewide,General Table,General Table,Transportation to Work,Governor Recommended,,2370629.0,191
General Fund / Statewide,General Table,General Table,Transportation to Work,FY,,2370629.0,191
General Fund / Statewide,General Table,General Table,Transportation to Work,Legislative,,2370629.0,191
General Fund / Statewide,General Table,General Table,Transportation to Work,60 million in,,2370629.0,191
General Fund / Statewide,General Table,General Table,Grant Payments to Local Governments,Actual FY 2023,2023,0.0,191
General Fund / Statewide,General Table,General Table,Grant Payments to Local Governments,Actual FY 2024,2024,0.0,191
General Fund / Statewide,General Table,General Table,Grant Payments to Local Governments,Appropriation FY 2025,2025,0.0,191
General Fund / Statewide,General Table,General Table,Grant Payments to Local Governments,Governor Recommended,,0.0,191
General Fund / Statewide,General Table,General Table,Grant Payments to Local Governments,FY,,0.0,191
General Fund / Statewide,General Table,General Table,Grant Payments to Local Governments,Legislative,,0.0,191
General Fund / Statewide,General Table,General Table,Grant Payments to Local Governments,60 million in,,0.0,191
General Fund / Statewide,General Table,General Table,Town Aid Road Grants - TF,Actual FY 2023,2023,0.0,191
General Fund / Statewide,General Table,General Table,Town Aid Road Grants - TF,Actual FY 2024,2024,60000000.0,191
General Fund / Statewide,General Table,General Table,Town Aid Road Grants - TF,Appropriation FY 2025,2025,60000000.0,191
General Fund / Statewide,General Table,General Table,Town Aid Road Grants - TF,Governor Recommended,,0.0,191
General Fund / Statewide,General Table,General Table,Town Aid Road Grants - TF,FY,,0.0,191
General Fund / Statewide,General Table,General Table,Town Aid Road Grants - TF,Legislative,,0.0,191
General Fund / Statewide,General Table,General Table,Town Aid Road Grants - TF,60 million in,,0.0,191
General Fund / Statewide,General Table,General Table,Agency Total - Special Transportation Fund,Actual FY 2023,2023,718841070.0,191
General Fund / Statewide,General Table,General Table,Agency Total - Special Transportation Fund,Actual FY 2024,2024,816093260.0,191
General Fund / Statewide,General Table,General Table,Agency Total - Special Transportation Fund,Appropriation FY 2025,2025,964814174.0,191
General Fund / Statewide,General Table,General Table,Agency Total - Special Transportation Fund,Governor Recommended,,990148566.0,191
General Fund / Statewide,General Table,General Table,Agency Total - Special Transportation Fund,FY,,987570704.0,191
General Fund / Statewide,General Table,General Table,Agency Total - Special Transportation Fund,Legislative,,992998048.0,191
General Fund / Statewide,General Table,General Table,Agency Total - Special Transportation Fund,60 million in,,1000595761.0,191
General Fund / Statewide,General Table,General Table,Other Expenses,Actual FY 2023,2023,0.0,191
General Fund / Statewide,General Table,General Table,Other Expenses,Actual FY 2024,2024,549991.0,191
General Fund / Statewide,General Table,General Table,Other Expenses,Appropriation FY 2025,2025,550000.0,191
General Fund / Statewide,General Table,General Table,Other Expenses,Governor Recommended,,0.0,191
General Fund / Statewide,General Table,General Table,Other Expenses,FY,,0.0,191
General Fund / Statewide,General Table,General Table,Other Expenses,Legislative,,550000.0,191
General Fund / Statewide,General Table,General Table,Other Expenses,60 million in,,550000.0,191
General Fund / Statewide,General Table,General Table,Agency Total - Cannabis Regulatory Fund,Actual FY 2023,2023,0.0,191
General Fund / Statewide,General Table,General Table,Agency Total - Cannabis Regulatory Fund,Actual FY 2024,2024,549991.0,191
General Fund / Statewide,General Table,General Table,Agency Total - Cannabis Regulatory Fund,Appropriation FY 2025,2025,550000.0,191
General Fund / Statewide,General Table,General Table,Agency Total - Cannabis Regulatory Fund,Governor Recommended,,0.0,191
General Fund / Statewide,General Table,General Table,Agency Total - Cannabis Regulatory Fund,FY,,0.0,191
General Fund / Statewide,General Table,General Table,Agency Total - Cannabis Regulatory Fund,Legislative,,550000.0,191
General Fund / Statewide,General Table,General Table,Agency Total - Cannabis Regulatory Fund,60 million in,,550000.0,191
General Fund / Statewide,General Table,General Table,Total - Appropriated Funds,Actual FY 2023,2023,718841070.0,191
General Fund / Statewide,General Table,General Table,Total - Appropriated Funds,Actual FY 2024,2024,816643251.0,191
General Fund / Statewide,General Table,General Table,Total - Appropriated Funds,Appropriation FY 2025,2025,965364174.0,191
General Fund / Statewide,General Table,General Table,Total - Appropriated Funds,Governor Recommended,,990148566.0,191
General Fund / Statewide,General Table,General Table,Total - Appropriated Funds,FY,,987570704.0,191
General Fund / Statewide,General Table,General Table,Total - Appropriated Funds,Legislative,,993548048.0,191
General Fund / Statewide,General Table,General Table,Total - Appropriated Funds,60 million in,,1001145761.0,191
General Fund / Statewide,General Table,General Table,General Table,Rail Fares Change History Date Implemented,,112016.0,192
General Fund / Statewide,General Table,General Table,General Table,Increase,,1.0,192
General Fund / Statewide,General Table,General Table,General Table,Rail Fares Change History Date Implemented,,1212016.0,192
General Fund / Statewide,General Table,General Table,General Table,Increase,,6.0,192
General Fund / Statewide,General Table,General Table,General Table,Rail Fares Change History Date Implemented,,112018.0,192
General Fund / Statewide,General Table,General Table,General Table,Rail Fares Change History Date Implemented,,1112023.0,192
General Fund / Statewide,General Table,General Table,General Table,Increase,,4.5,192
General Fund / Statewide,General Table,General Table,General Table,Rail Fares Change History Date Implemented,,712025.0,192
General Fund / Statewide,General Table,General Table,General Table,Increase,,5.0,192
General Fund / Statewide,General Table,General Table,General Table,Rail Fares Change History Date Implemented,,712026.0,192
General Fund / Statewide,General Table,General Table,General Table,Bus Fare Change History Date Implemented,,112012.0,192
General Fund / Statewide,General Table,General Table,General Table,Amount,,1.3,192
General Fund / Statewide,General Table,General Table,General Table,Bus Fare Change History Date Implemented,,112014.0,192
General Fund / Statewide,General Table,General Table,General Table,Amount,,1.5,192
General Fund / Statewide,General Table,General Table,General Table,Bus Fare Change History Date Implemented,,1212016.0,192
General Fund / Statewide,General Table,General Table,General Table,Amount,,1.75,192
General Fund / Statewide,General Table,General Table,Difference from Governor FY 26 FY 27,Governor Recommended,,26.0,196
General Fund / Statewide,General Table,General Table,Difference from Governor FY 26 FY 27,FY,,27.0,196
General Fund / Statewide,General Table,General Table,Difference from Governor FY 26 FY 27,Legislative,,26.0,196
General Fund / Statewide,General Table,General Table,Difference from Governor FY 26 FY 27,60 million in,,27.0,196
General Fund / Statewide,General Table,General Table,General Table,Governor Recommended,,964814174.0,196
General Fund / Statewide,General Table,General Table,General Table,FY,,964814174.0,196
General Fund / Statewide,General Table,General Table,General Table,Legislative,,964814174.0,196
General Fund / Statewide,General Table,General Table,General Table,60 million in,,964814174.0,196
General Fund / Statewide,General Table,General Table,Budget Components Policy Revisions,Governor Recommended,,-71429499.0,196
General Fund / Statewide,General Table,General Table,Budget Components Policy Revisions,FY,,-88576273.0,196
General Fund / Statewide,General Table,General Table,Budget Components Policy Revisions,Legislative,,-68580017.0,196
General Fund / Statewide,General Table,General Table,Budget Components Policy Revisions,60 million in,,-75551216.0,196
General Fund / Statewide,General Table,General Table,Budget Components Policy Revisions,Difference from Governor,,2849482.0,196
General Fund / Statewide,General Table,General Table,Budget Components Policy Revisions,FY,,13025057.0,196
General Fund / Statewide,General Table,General Table,General Table,Governor Recommended,,96763891.0,196
General Fund / Statewide,General Table,General Table,General Table,FY,,111332803.0,196
General Fund / Statewide,General Table,General Table,General Table,Legislative,,96763891.0,196
General Fund / Statewide,General Table,General Table,General Table,60 million in,,111332803.0,196
General Fund / Statewide,General Table,General Table,Budget Components Total Recommended - TF,Governor Recommended,,990148566.0,196
General Fund / Statewide,General Table,General Table,Budget Components Total Recommended - TF,FY,,987570704.0,196
General Fund / Statewide,General Table,General Table,Budget Components Total Recommended - TF,Legislative,,992998048.0,196
General Fund / Statewide,General Table,General Table,Budget Components Total Recommended - TF,60 million in,,1000595761.0,196
General Fund / Statewide,General Table,General Table,Budget Components Total Recommended - TF,Difference from Governor,,2849482.0,196
General Fund / Statewide,General Table,General Table,Budget Components Total Recommended - TF,FY,,13025057.0,196
General Fund / Statewide,General Table,General Table,General Table,Governor Recommended,,550000.0,196
General Fund / Statewide,General Table,General Table,General Table,FY,,550000.0,196
General Fund / Statewide,General Table,General Table,General Table,Legislative,,550000.0,196
General Fund / Statewide,General Table,General Table,General Table,60 million in,,550000.0,196
General Fund / Statewide,General Table,General Table,Budget Components Policy Revisions,Governor Recommended,,-550000.0,196
General Fund / Statewide,General Table,General Table,Budget Components Policy Revisions,FY,,-550000.0,196
General Fund / Statewide,General Table,General Table,Budget Components Policy Revisions,Legislative,,0.0,196
General Fund / Statewide,General Table,General Table,Budget Components Policy Revisions,60 million in,,0.0,196
General Fund / Statewide,General Table,General Table,Budget Components Policy Revisions,Difference from Governor,,550000.0,196
General Fund / Statewide,General Table,General Table,Budget Components Policy Revisions,FY,,550000.0,196
General Fund / Statewide,General Table,General Table,Budget Components Total Recommended - CRF,Governor Recommended,,0.0,196
General Fund / Statewide,General Table,General Table,Budget Components Total Recommended - CRF,FY,,0.0,196
General Fund / Statewide,General Table,General Table,Budget Components Total Recommended - CRF,Legislative,,550000.0,196
General Fund / Statewide,General Table,General Table,Budget Components Total Recommended - CRF,60 million in,,550000.0,196
General Fund / Statewide,General Table,General Table,Budget Components Total Recommended - CRF,Difference from Governor,,550000.0,196
General Fund / Statewide,General Table,General Table,Budget Components Total Recommended - CRF,FY,,550000.0,196
General Fund / Statewide,General Table,General Table,Unspecified,Actual FY 2023,2023,0.0,197
General Fund / Statewide,General Table,General Table,Unspecified,Actual FY 2024,2024,0.0,197
General Fund / Statewide,General Table,General Table,Unspecified,Appropriation FY 2025,2025,0.0,197
General Fund / Statewide,General Table,General Table,Unspecified,Governor Recommended,,26.0,197
General Fund / Statewide,General Table,General Table,Unspecified,60 million in,,27.0,197
General Fund / Statewide,General Table,General Table,Unspecified,Legislative,,26.0,197
General Fund / Statewide,General Table,General Table,Unspecified,FY,,27.0,197
General Fund / Statewide,General Table,General Table,General Fund,Actual FY 2023,2023,0.0,197
General Fund / Statewide,General Table,General Table,General Fund,Actual FY 2024,2024,0.0,197
General Fund / Statewide,General Table,General Table,General Fund,Appropriation FY 2025,2025,0.0,197
General Fund / Statewide,General Table,General Table,General Fund,Governor Recommended,,0.0,197
General Fund / Statewide,General Table,General Table,General Fund,60 million in,,0.0,197
General Fund / Statewide,General Table,General Table,General Fund,Legislative,,0.0,197
General Fund / Statewide,General Table,General Table,General Fund,FY,,0.0,197
General Fund / Statewide,General Table,General Table,Department of Social Services,Actual FY 2023,2023,4941696324.0,197
General Fund / Statewide,General Table,General Table,Department of Social Services,Actual FY 2024,2024,4646126083.0,197
General Fund / Statewide,General Table,General Table,Department of Social Services,Appropriation FY 2025,2025,4599147121.0,197
General Fund / Statewide,General Table,General Table,Department of Social Services,Governor Recommended,,4957764552.0,197
General Fund / Statewide,General Table,General Table,Department of Social Services,60 million in,,5432429652.0,197
General Fund / Statewide,General Table,General Table,Department of Social Services,Legislative,,5043203361.0,197
General Fund / Statewide,General Table,General Table,Department of Social Services,FY,,5524212461.0,197
General Fund / Statewide,General Table,General Table,Department of Aging and Disability Services,Actual FY 2023,2023,27687016.0,197
General Fund / Statewide,General Table,General Table,Department of Aging and Disability Services,Actual FY 2024,2024,29807961.0,197
General Fund / Statewide,General Table,General Table,Department of Aging and Disability Services,Appropriation FY 2025,2025,34098363.0,197
General Fund / Statewide,General Table,General Table,Department of Aging and Disability Services,Governor Recommended,,34069820.0,197
General Fund / Statewide,General Table,General Table,Department of Aging and Disability Services,60 million in,,34069820.0,197
General Fund / Statewide,General Table,General Table,Department of Aging and Disability Services,Legislative,,35851820.0,197
General Fund / Statewide,General Table,General Table,Department of Aging and Disability Services,FY,,35991820.0,197
General Fund / Statewide,General Table,General Table,Department of Children and Families,Actual FY 2023,2023,762870128.0,197
General Fund / Statewide,General Table,General Table,Department of Children and Families,Actual FY 2024,2024,775493821.0,197
General Fund / Statewide,General Table,General Table,Department of Children and Families,Appropriation FY 2025,2025,810981921.0,197
General Fund / Statewide,General Table,General Table,Department of Children and Families,Governor Recommended,,802566971.0,197
General Fund / Statewide,General Table,General Table,Department of Children and Families,60 million in,,804712201.0,197
General Fund / Statewide,General Table,General Table,Department of Children and Families,Legislative,,812375775.0,197
General Fund / Statewide,General Table,General Table,Department of Children and Families,FY,,823265005.0,197
General Fund / Statewide,General Table,General Table,Total - General Fund,Actual FY 2023,2023,5732253468.0,197
General Fund / Statewide,General Table,General Table,Total - General Fund,Actual FY 2024,2024,5451427865.0,197
General Fund / Statewide,General Table,General Table,Total - General Fund,Appropriation FY 2025,2025,5444227405.0,197
General Fund / Statewide,General Table,General Table,Total - General Fund,Governor Recommended,,5794401343.0,197
General Fund / Statewide,General Table,General Table,Total - General Fund,60 million in,,6271211673.0,197
General Fund / Statewide,General Table,General Table,Total - General Fund,Legislative,,5891430956.0,197
General Fund / Statewide,General Table,General Table,Total - General Fund,FY,,6383469286.0,197
General Fund / Statewide,General Table,General Table,Insurance Fund,Actual FY 2023,2023,0.0,197
General Fund / Statewide,General Table,General Table,Insurance Fund,Actual FY 2024,2024,0.0,197
General Fund / Statewide,General Table,General Table,Insurance Fund,Appropriation FY 2025,2025,0.0,197
General Fund / Statewide,General Table,General Table,Insurance Fund,Governor Recommended,,0.0,197
General Fund / Statewide,General Table,General Table,Insurance Fund,60 million in,,0.0,197
General Fund / Statewide,General Table,General Table,Insurance Fund,Legislative,,0.0,197
General Fund / Statewide,General Table,General Table,Insurance Fund,FY,,0.0,197
General Fund / Statewide,General Table,General Table,Department of Aging and Disability Services,Actual FY 2023,2023,119898.0,197
General Fund / Statewide,General Table,General Table,Department of Aging and Disability Services,Actual FY 2024,2024,50075.0,197
General Fund / Statewide,General Table,General Table,Department of Aging and Disability Services,Appropriation FY 2025,2025,382660.0,197
General Fund / Statewide,General Table,General Table,Department of Aging and Disability Services,Governor Recommended,,190692.0,197
General Fund / Statewide,General Table,General Table,Department of Aging and Disability Services,60 million in,,190692.0,197
General Fund / Statewide,General Table,General Table,Department of Aging and Disability Services,Legislative,,382660.0,197
General Fund / Statewide,General Table,General Table,Department of Aging and Disability Services,FY,,382660.0,197
General Fund / Statewide,General Table,General Table,Workers' Compensation Fund,Actual FY 2023,2023,0.0,197
General Fund / Statewide,General Table,General Table,Workers' Compensation Fund,Actual FY 2024,2024,0.0,197
General Fund / Statewide,General Table,General Table,Workers' Compensation Fund,Appropriation FY 2025,2025,0.0,197
General Fund / Statewide,General Table,General Table,Workers' Compensation Fund,Governor Recommended,,0.0,197
General Fund / Statewide,General Table,General Table,Workers' Compensation Fund,60 million in,,0.0,197
General Fund / Statewide,General Table,General Table,Workers' Compensation Fund,Legislative,,0.0,197
General Fund / Statewide,General Table,General Table,Workers' Compensation Fund,FY,,0.0,197
General Fund / Statewide,General Table,General Table,Department of Aging and Disability Services,Actual FY 2023,2023,1307588.0,197
General Fund / Statewide,General Table,General Table,Department of Aging and Disability Services,Actual FY 2024,2024,1346384.0,197
General Fund / Statewide,General Table,General Table,Department of Aging and Disability Services,Appropriation FY 2025,2025,2260720.0,197
General Fund / Statewide,General Table,General Table,Department of Aging and Disability Services,Governor Recommended,,1746841.0,197
General Fund / Statewide,General Table,General Table,Department of Aging and Disability Services,60 million in,,1746841.0,197
General Fund / Statewide,General Table,General Table,Department of Aging and Disability Services,Legislative,,1746841.0,197
General Fund / Statewide,General Table,General Table,Department of Aging and Disability Services,FY,,1746841.0,197
General Fund / Statewide,General Table,General Table,Total - Appropriated Funds,Actual FY 2023,2023,5733680954.0,197
General Fund / Statewide,General Table,General Table,Total - Appropriated Funds,Actual FY 2024,2024,5452824324.0,197
General Fund / Statewide,General Table,General Table,Total - Appropriated Funds,Appropriation FY 2025,2025,5446870785.0,197
General Fund / Statewide,General Table,General Table,Total - Appropriated Funds,Governor Recommended,,5796338876.0,197
General Fund / Statewide,General Table,General Table,Total - Appropriated Funds,60 million in,,6273149206.0,197
General Fund / Statewide,General Table,General Table,Total - Appropriated Funds,Legislative,,5893560457.0,197
General Fund / Statewide,General Table,General Table,Total - Appropriated Funds,FY,,6385598787.0,197
General Fund / Statewide,General Table,General Table,Unspecified,Actual FY 2023,2023,0.0,199
General Fund / Statewide,General Table,General Table,Unspecified,Actual FY 2024,2024,0.0,199
General Fund / Statewide,General Table,General Table,Unspecified,Appropriation FY 2025,2025,0.0,199
General Fund / Statewide,General Table,General Table,Unspecified,Governor Recommended,,26.0,199
General Fund / Statewide,General Table,General Table,Unspecified,FY,,27.0,199
General Fund / Statewide,General Table,General Table,Unspecified,Legislative,,26.0,199
General Fund / Statewide,General Table,General Table,Unspecified,60 million in,,27.0,199
General Fund / Statewide,General Table,General Table,Personal Services,Actual FY 2023,2023,150180725.0,199
General Fund / Statewide,General Table,General Table,Personal Services,Actual FY 2024,2024,150872462.0,199
General Fund / Statewide,General Table,General Table,Personal Services,Appropriation FY 2025,2025,154061290.0,199
General Fund / Statewide,General Table,General Table,Personal Services,Governor Recommended,,150719055.0,199
General Fund / Statewide,General Table,General Table,Personal Services,FY,,151620855.0,199
General Fund / Statewide,General Table,General Table,Personal Services,Legislative,,158758860.0,199
General Fund / Statewide,General Table,General Table,Personal Services,60 million in,,159660660.0,199
General Fund / Statewide,General Table,General Table,Other Expenses,Actual FY 2023,2023,170667008.0,199
General Fund / Statewide,General Table,General Table,Other Expenses,Actual FY 2024,2024,170223974.0,199
General Fund / Statewide,General Table,General Table,Other Expenses,Appropriation FY 2025,2025,155393116.0,199
General Fund / Statewide,General Table,General Table,Other Expenses,Governor Recommended,,131921000.0,199
General Fund / Statewide,General Table,General Table,Other Expenses,FY,,133739200.0,199
General Fund / Statewide,General Table,General Table,Other Expenses,Legislative,,165050000.0,199
General Fund / Statewide,General Table,General Table,Other Expenses,60 million in,,168068200.0,199
General Fund / Statewide,General Table,General Table,Other Current Expenses,Actual FY 2023,2023,0.0,199
General Fund / Statewide,General Table,General Table,Other Current Expenses,Actual FY 2024,2024,0.0,199
General Fund / Statewide,General Table,General Table,Other Current Expenses,Appropriation FY 2025,2025,0.0,199
General Fund / Statewide,General Table,General Table,Other Current Expenses,Governor Recommended,,0.0,199
General Fund / Statewide,General Table,General Table,Other Current Expenses,FY,,0.0,199
General Fund / Statewide,General Table,General Table,Other Current Expenses,Legislative,,0.0,199
General Fund / Statewide,General Table,General Table,Other Current Expenses,60 million in,,0.0,199
General Fund / Statewide,General Table,General Table,Genetic Tests in Paternity Actions,Actual FY 2023,2023,34621.0,199
General Fund / Statewide,General Table,General Table,Genetic Tests in Paternity Actions,Actual FY 2024,2024,36289.0,199
General Fund / Statewide,General Table,General Table,Genetic Tests in Paternity Actions,Appropriation FY 2025,2025,81906.0,199
General Fund / Statewide,General Table,General Table,Genetic Tests in Paternity Actions,Governor Recommended,,81906.0,199
General Fund / Statewide,General Table,General Table,Genetic Tests in Paternity Actions,FY,,81906.0,199
General Fund / Statewide,General Table,General Table,Genetic Tests in Paternity Actions,Legislative,,81906.0,199
General Fund / Statewide,General Table,General Table,Genetic Tests in Paternity Actions,60 million in,,81906.0,199
General Fund / Statewide,General Table,General Table,HUSKYB Program,Actual FY 2023,2023,18323313.0,199
General Fund / Statewide,General Table,General Table,HUSKYB Program,Actual FY 2024,2024,14948460.0,199
General Fund / Statewide,General Table,General Table,HUSKYB Program,Appropriation FY 2025,2025,38230000.0,199
General Fund / Statewide,General Table,General Table,HUSKYB Program,Governor Recommended,,30250000.0,199
General Fund / Statewide,General Table,General Table,HUSKYB Program,FY,,31460000.0,199
General Fund / Statewide,General Table,General Table,HUSKYB Program,Legislative,,31550000.0,199
General Fund / Statewide,General Table,General Table,HUSKYB Program,60 million in,,32760000.0,199
General Fund / Statewide,General Table,General Table,Substance Use Disorder Waiver Reserve,Actual FY 2023,2023,0.0,199
General Fund / Statewide,General Table,General Table,Substance Use Disorder Waiver Reserve,Actual FY 2024,2024,0.0,199
General Fund / Statewide,General Table,General Table,Substance Use Disorder Waiver Reserve,Appropriation FY 2025,2025,18370000.0,199
General Fund / Statewide,General Table,General Table,Substance Use Disorder Waiver Reserve,Governor Recommended,,18370000.0,199
General Fund / Statewide,General Table,General Table,Substance Use Disorder Waiver Reserve,FY,,18370000.0,199
General Fund / Statewide,General Table,General Table,Substance Use Disorder Waiver Reserve,Legislative,,18370000.0,199
General Fund / Statewide,General Table,General Table,Substance Use Disorder Waiver Reserve,60 million in,,18370000.0,199
General Fund / Statewide,General Table,General Table,Other Than Payments to Local Governments,Actual FY 2023,2023,0.0,199
General Fund / Statewide,General Table,General Table,Other Than Payments to Local Governments,Actual FY 2024,2024,0.0,199
General Fund / Statewide,General Table,General Table,Other Than Payments to Local Governments,Appropriation FY 2025,2025,0.0,199
General Fund / Statewide,General Table,General Table,Other Than Payments to Local Governments,Governor Recommended,,0.0,199
General Fund / Statewide,General Table,General Table,Other Than Payments to Local Governments,FY,,0.0,199
General Fund / Statewide,General Table,General Table,Other Than Payments to Local Governments,Legislative,,0.0,199
General Fund / Statewide,General Table,General Table,Other Than Payments to Local Governments,60 million in,,0.0,199
General Fund / Statewide,General Table,General Table,Medicaid,Actual FY 2023,2023,2926434678.0,199
General Fund / Statewide,General Table,General Table,Medicaid,Actual FY 2024,2024,3380727893.0,199
General Fund / Statewide,General Table,General Table,Medicaid,Appropriation FY 2025,2025,3287715431.0,199
General Fund / Statewide,General Table,General Table,Medicaid,Governor Recommended,,3673630000.0,199
General Fund / Statewide,General Table,General Table,Medicaid,FY,,3882280000.0,199
General Fund / Statewide,General Table,General Table,Medicaid,Legislative,,3702380000.0,199
General Fund / Statewide,General Table,General Table,Medicaid,60 million in,,3950330000.0,199
General Fund / Statewide,General Table,General Table,Old Age Assistance,Actual FY 2023,2023,43344825.0,199
General Fund / Statewide,General Table,General Table,Old Age Assistance,Actual FY 2024,2024,47557572.0,199
General Fund / Statewide,General Table,General Table,Old Age Assistance,Appropriation FY 2025,2025,51346541.0,199
General Fund / Statewide,General Table,General Table,Old Age Assistance,Governor Recommended,,53530000.0,199
General Fund / Statewide,General Table,General Table,Old Age Assistance,FY,,54310000.0,199
General Fund / Statewide,General Table,General Table,Old Age Assistance,Legislative,,54450000.0,199
General Fund / Statewide,General Table,General Table,Old Age Assistance,60 million in,,56900000.0,199
General Fund / Statewide,General Table,General Table,Aid To The Blind,Actual FY 2023,2023,549620.0,199
General Fund / Statewide,General Table,General Table,Aid To The Blind,Actual FY 2024,2024,566099.0,199
General Fund / Statewide,General Table,General Table,Aid To The Blind,Appropriation FY 2025,2025,619721.0,199
General Fund / Statewide,General Table,General Table,Aid To The Blind,Governor Recommended,,612200.0,199
General Fund / Statewide,General Table,General Table,Aid To The Blind,FY,,627300.0,199
General Fund / Statewide,General Table,General Table,Aid To The Blind,Legislative,,623700.0,199
General Fund / Statewide,General Table,General Table,Aid To The Blind,60 million in,,657800.0,199
General Fund / Statewide,General Table,General Table,Aid To The Disabled,Actual FY 2023,2023,51743720.0,199
General Fund / Statewide,General Table,General Table,Aid To The Disabled,Actual FY 2024,2024,52986819.0,199
General Fund / Statewide,General Table,General Table,Aid To The Disabled,Appropriation FY 2025,2025,50543338.0,199
General Fund / Statewide,General Table,General Table,Aid To The Disabled,Governor Recommended,,52980000.0,199
General Fund / Statewide,General Table,General Table,Aid To The Disabled,FY,,53820000.0,199
General Fund / Statewide,General Table,General Table,Aid To The Disabled,Legislative,,53820000.0,199
General Fund / Statewide,General Table,General Table,Aid To The Disabled,60 million in,,56020000.0,199
General Fund / Statewide,General Table,General Table,Temporary Family Assistance - TANF,Actual FY 2023,2023,49460669.0,199
General Fund / Statewide,General Table,General Table,Temporary Family Assistance - TANF,Actual FY 2024,2024,56376381.0,199
General Fund / Statewide,General Table,General Table,Temporary Family Assistance - TANF,Appropriation FY 2025,2025,69641000.0,199
General Fund / Statewide,General Table,General Table,Temporary Family Assistance - TANF,Governor Recommended,,69400000.0,199
General Fund / Statewide,General Table,General Table,Temporary Family Assistance - TANF,FY,,75400000.0,199
General Fund / Statewide,General Table,General Table,Temporary Family Assistance - TANF,Legislative,,69400000.0,199
General Fund / Statewide,General Table,General Table,Temporary Family Assistance - TANF,60 million in,,75400000.0,199
General Fund / Statewide,General Table,General Table,Emergency Assistance,Actual FY 2023,2023,0.0,199
General Fund / Statewide,General Table,General Table,Emergency Assistance,Actual FY 2024,2024,0.0,199
General Fund / Statewide,General Table,General Table,Emergency Assistance,Appropriation FY 2025,2025,1.0,199
General Fund / Statewide,General Table,General Table,Emergency Assistance,Governor Recommended,,1.0,199
General Fund / Statewide,General Table,General Table,Emergency Assistance,FY,,1.0,199
General Fund / Statewide,General Table,General Table,Emergency Assistance,Legislative,,1.0,199
General Fund / Statewide,General Table,General Table,Emergency Assistance,60 million in,,1.0,199
General Fund / Statewide,General Table,General Table,Food Stamp Training Expenses,Actual FY 2023,2023,7642.0,199
General Fund / Statewide,General Table,General Table,Food Stamp Training Expenses,Actual FY 2024,2024,0.0,199
General Fund / Statewide,General Table,General Table,Food Stamp Training Expenses,Appropriation FY 2025,2025,9341.0,199
General Fund / Statewide,General Table,General Table,Food Stamp Training Expenses,Governor Recommended,,9341.0,199
General Fund / Statewide,General Table,General Table,Food Stamp Training Expenses,FY,,9341.0,199
General Fund / Statewide,General Table,General Table,Food Stamp Training Expenses,Legislative,,9341.0,199
General Fund / Statewide,General Table,General Table,Food Stamp Training Expenses,60 million in,,9341.0,199
General Fund / Statewide,General Table,General Table,DMHAS-Disproportionate Share,Actual FY 2023,2023,108935000.0,199
General Fund / Statewide,General Table,General Table,DMHAS-Disproportionate Share,Actual FY 2024,2024,108935000.0,199
General Fund / Statewide,General Table,General Table,DMHAS-Disproportionate Share,Appropriation FY 2025,2025,108935000.0,199
General Fund / Statewide,General Table,General Table,DMHAS-Disproportionate Share,Governor Recommended,,108935000.0,199
General Fund / Statewide,General Table,General Table,DMHAS-Disproportionate Share,FY,,108935000.0,199
