source_document,page,subcommittee,agency,fund,account,row_type,actual_fy23,actual_fy24,appropriation_fy25,governor_fy26,governor_fy27,legislative_fy26,legislative_fy27
2025BB-20250827_FY26_FY27.pdf,59,General Government,,,Accruals,account,26334.0,56416.0,,,,,
2025BB-20250827_FY26_FY27.pdf,59,General Government,,,Equity and Innovation Fund,account,26334.0,56416.0,,,,,
2025BB-20250827_FY26_FY27.pdf,59,General Government,,,Accruals,account,,18650.0,,,,,
2025BB-20250827_FY26_FY27.pdf,59,General Government,,,Services Fund,account,,18650.0,,,,,
2025BB-20250827_FY26_FY27.pdf,59,General Government,,,Accruals,account,,245666.0,,,,,
2025BB-20250827_FY26_FY27.pdf,62,General Government,,,Unemployment Compensation,account,2700519.0,3024020.0,5054729.0,4128400.0,4049400.0,4128400.0,4049400.0
2025BB-20250827_FY26_FY27.pdf,62,General Government,,,Contributions,account,,,2180602.0,,,,
2025BB-20250827_FY26_FY27.pdf,62,General Government,,,Retirement System,account,13490055.0,83244548.0,15396159.0,95819900.0,101569100.0,95819900.0,101569100.0
2025BB-20250827_FY26_FY27.pdf,62,General Government,,,Other Statutory,account,2052118.0,2228093.0,2188946.0,2362961.0,2433850.0,2362961.0,2433850.0
2025BB-20250827_FY26_FY27.pdf,62,General Government,,,Commissioners Retirement,account,32532792.0,35251783.0,37436431.0,30551644.0,31587446.0,30551644.0,31587446.0
2025BB-20250827_FY26_FY27.pdf,62,General Government,,,Insurance - Group Life,account,10461618.0,9343637.0,10428278.0,9592040.0,9737040.0,9591350.0,9736350.0
2025BB-20250827_FY26_FY27.pdf,62,General Government,,,Employers Social Security Tax,account,248984874.0,197210988.0,198253601.0,217363325.0,226188025.0,218274821.0,227326623.0
2025BB-20250827_FY26_FY27.pdf,62,General Government,,,Cost,account,716534964.0,627692142.0,708256659.0,676648150.0,698719850.0,553879142.0,708024030.0
2025BB-20250827_FY26_FY27.pdf,62,General Government,,,Service Cost,account,737747324.0,692952650.0,737999520.0,790564000.0,957183800.0,790564000.0,957183800.0
2025BB-20250827_FY26_FY27.pdf,62,General Government,,,Training and Travel,account,5344042.0,3264896.0,4123500.0,290000.0,150000.0,290000.0,150000.0
2025BB-20250827_FY26_FY27.pdf,62,General Government,,,Other Post Employment Benefits,account,84070613.0,61619664.0,43945893.0,63017404.0,64626405.0,63375498.0,65073558.0
2025BB-20250827_FY26_FY27.pdf,62,General Government,,,Death Benefits For St Employ,account,13100.0,10600.0,,,,,
2025BB-20250827_FY26_FY27.pdf,62,General Government,,,Match,account,10979835.0,13574033.0,24500480.0,18640944.0,27840111.0,18762859.0,27991712.0
2025BB-20250827_FY26_FY27.pdf,62,General Government,,,Contributions - Normal Cost,account,167611504.0,177212110.0,182006295.0,195313686.0,201118086.0,195276136.0,201080536.0
2025BB-20250827_FY26_FY27.pdf,62,General Government,,,Contributions - UAL,account,1400199989.0,1463453121.0,1420805152.0,1410995984.0,1324964439.0,1410902244.0,1324870699.0
2025BB-20250827_FY26_FY27.pdf,62,General Government,,,CT Premium Pay Account,account,110386150.0,,,,,,
2025BB-20250827_FY26_FY27.pdf,62,General Government,,,Agency Total - General Fund,account,3543109497.0,3370082285.0,3392576245.0,3515288438.0,3650167552.0,3393778955.0,3661077104.0
2025BB-20250827_FY26_FY27.pdf,62,General Government,,,Unemployment Compensation,account,169573.0,197110.0,360000.0,360000.0,360000.0,360000.0,360000.0
2025BB-20250827_FY26_FY27.pdf,62,General Government,,,Insurance - Group Life,account,367970.0,357604.0,414000.0,395600.0,401600.0,395600.0,401600.0
2025BB-20250827_FY26_FY27.pdf,62,General Government,,,Employers Social Security Tax,account,18427353.0,18071014.0,19025570.0,20862731.0,21697231.0,20862731.0,21697231.0
2025BB-20250827_FY26_FY27.pdf,62,General Government,,,Cost,account,56538127.0,62167985.0,71541000.0,72448400.0,74679100.0,66798800.0,65927200.0
2025BB-20250827_FY26_FY27.pdf,62,General Government,,,Other Post Employment Benefits,account,5515143.0,3627679.0,2989257.0,4215697.0,4321112.0,4215697.0,4321112.0
2025BB-20250827_FY26_FY27.pdf,62,General Government,,,Match,account,742590.0,906914.0,1538880.0,1229898.0,1835222.0,1229898.0,1835222.0
2025BB-20250827_FY26_FY27.pdf,62,General Government,,,Contributions - Normal Cost,account,21346200.0,20485465.0,21096029.0,22660619.0,23334444.0,22660619.0,23334444.0
2025BB-20250827_FY26_FY27.pdf,62,General Government,,,Contributions - UAL,account,163773082.0,155690019.0,146129193.0,145173898.0,136192810.0,145173898.0,136192810.0
2025BB-20250827_FY26_FY27.pdf,62,General Government,,,Transportation Fund,account,266880038.0,261503790.0,263093929.0,267346843.0,262821519.0,261697243.0,254069619.0
2025BB-20250827_FY26_FY27.pdf,62,General Government,,,Total - Appropriated Funds,fund_total,3809989535.0,3631586075.0,3655670174.0,3782635281.0,3912989071.0,3655476198.0,3915146723.0
2025BB-20250827_FY26_FY27.pdf,68,General Government,,Fund,General Fund,account,593.0,593.0,593.0,602.0,602.0,596.0,596.0
